Distribution, Topology, Time, Nprocessor
2400x100x100, 6x4, 0.70310430, 24
2400x100x100, 4x6, 0.69695224, 24
2400x100x100, 8x3, 0.68892870, 24
2400x100x100, 3x8, 0.69140686, 24
2400x100x100, 12x2, 0.63271155, 24
2400x100x100, 2x12, 0.63227126, 24
2400x100x100, 24x1, 0.68352635, 24
2400x100x100, 1x24, 0.68195627, 24
2400x100x100, 24x1x1, 0.63740558, 24
2400x100x100, 1x24x1, 0.68585003, 24
2400x100x100, 1x1x24, 0.63003148, 24
2400x100x100, 12x2x1, 0.63056059, 24
2400x100x100, 1x12x2, 0.68343909, 24
2400x100x100, 2x1x12, 0.68276837, 24
2400x100x100, 6x2x2, 0.62238741, 24
2400x100x100, 2x6x2, 0.68380701, 24
2400x100x100, 2x2x6, 0.69481319, 24
2400x100x100, 4x3x2, 0.68667042, 24
2400x100x100, 3x2x4, 0.67911430, 24
2400x100x100, 2x3x4, 0.64478497, 24
2400x100x100, 4x2x3, 0.68843993, 24
2400x100x100, 3x4x2, 0.69270233, 24
2400x100x100, 2x4x3, 0.69160139, 24
1200x200x100, 6x4, 0.68819939, 24
1200x200x100, 4x6, 0.69052221, 24
1200x200x100, 8x3, 0.62971296, 24
1200x200x100, 3x8, 0.68910633, 24
1200x200x100, 12x2, 0.68846510, 24
1200x200x100, 2x12, 0.68142440, 24
1200x200x100, 24x1, 0.69002895, 24
1200x200x100, 1x24, 0.63768795, 24
1200x200x100, 24x1x1, 0.68244459, 24
1200x200x100, 1x24x1, 0.69129051, 24
1200x200x100, 1x1x24, 0.68929231, 24
1200x200x100, 12x2x1, 0.63480793, 24
1200x200x100, 1x12x2, 0.62248460, 24
1200x200x100, 2x1x12, 0.69142188, 24
1200x200x100, 6x2x2, 0.71415972, 24
1200x200x100, 2x6x2, 0.68503626, 24
1200x200x100, 2x2x6, 0.68129511, 24
1200x200x100, 4x3x2, 0.62713907, 24
1200x200x100, 3x2x4, 0.62617111, 24
1200x200x100, 2x3x4, 0.69480869, 24
1200x200x100, 4x2x3, 0.68928371, 24
1200x200x100, 3x4x2, 0.69042584, 24
1200x200x100, 2x4x3, 0.63402841, 24
800x300x100, 6x4, 0.69492876, 24
800x300x100, 4x6, 0.69377940, 24
800x300x100, 8x3, 0.69088047, 24
800x300x100, 3x8, 0.64242433, 24
800x300x100, 12x2, 0.68672102, 24
800x300x100, 2x12, 0.65077497, 24
800x300x100, 24x1, 0.70228650, 24
800x300x100, 1x24, 0.63478815, 24
800x300x100, 24x1x1, 0.63395623, 24
800x300x100, 1x24x1, 0.68562144, 24
800x300x100, 1x1x24, 0.62553748, 24
800x300x100, 12x2x1, 0.68399210, 24
800x300x100, 1x12x2, 0.69186719, 24
800x300x100, 2x1x12, 0.68177852, 24
800x300x100, 6x2x2, 0.67890758, 24
800x300x100, 2x6x2, 0.63161317, 24
800x300x100, 2x2x6, 0.70500000, 24
800x300x100, 4x3x2, 0.68265990, 24
800x300x100, 3x2x4, 0.62178828, 24
800x300x100, 2x3x4, 0.62193963, 24
800x300x100, 4x2x3, 0.70377257, 24
800x300x100, 3x4x2, 0.63174784, 24
800x300x100, 2x4x3, 0.62726613, 24
