#mpirun -np 2 --map-by socket --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.80,0.00
1,1000,7.85,0.13
2,1000,7.84,0.26
4,1000,7.80,0.51
8,1000,7.88,1.02
16,1000,7.84,2.04
32,1000,7.84,4.08
64,1000,7.87,8.13
128,1000,8.31,15.41
256,1000,8.34,30.70
512,1000,8.37,61.18
1024,1000,9.50,107.84
2048,1000,8.88,230.58
4096,1000,10.73,381.82
8192,1000,11.33,723.34
16384,1000,15.48,1058.71
32768,1000,25.54,1282.96
65536,640,56.66,1156.68
131072,320,80.31,1632.17
262144,160,121.51,2157.31
524288,80,193.34,2711.72
1048576,40,321.52,3261.27
2097152,20,615.03,3409.82
4194304,10,1225.31,3423.05
8388608,5,2398.47,3497.48
16777216,2,5047.38,3323.95
33554432,1,10185.79,3294.24
67108864,1,20090.72,3340.29
134217728,1,41371.85,3244.18
268435456,1,83467.18,3216.06
